date,session_key,meeting_key,driver_number,position
2023-03-05T15:22:23.042000+00:00,7953,1141,23,13
2023-03-05T15:22:23.042000+00:00,7953,1141,81,11
2023-03-05T15:22:24.370000+00:00,7953,1141,77,13
2023-03-05T15:22:24.370000+00:00,7953,1141,24,12
2023-03-05T15:22:24.370000+00:00,7953,1141,23,14
2023-03-05T15:22:27.511000+00:00,7953,1141,77,14
2023-03-05T15:22:27.511000+00:00,7953,1141,23,15
2023-03-05T15:22:27.511000+00:00,7953,1141,20,13
2023-03-05T15:22:40.885000+00:00,7953,1141,27,17
2023-03-05T15:22:40.885000+00:00,7953,1141,22,16
2023-03-05T15:22:40.885000+00:00,7953,1141,21,18
2023-03-05T15:22:43.682000+00:00,7953,1141,27,18
2023-03-05T15:22:43.682000+00:00,7953,1141,21,19
2023-03-05T15:22:43.682000+00:00,7953,1141,10,17
2023-03-05T15:22:47.323000+00:00,7953,1141,27,19
2023-03-05T15:22:47.323000+00:00,7953,1141,21,18
2023-03-05T15:22:50.370000+00:00,7953,1141,27,20
2023-03-05T15:22:50.370000+00:00,7953,1141,4,18
2023-03-05T15:22:50.370000+00:00,7953,1141,21,19
2023-03-05T15:23:41.884000+00:00,7953,1141,63,5
2023-03-05T15:23:41.884000+00:00,7953,1141,44,6
2023-03-05T15:23:42.384000+00:00,7953,1141,14,6
2023-03-05T15:23:42.384000+00:00,7953,1141,44,7
2023-03-05T15:23:48.384000+00:00,7953,1141,44,8
2023-03-05T15:23:48.384000+00:00,7953,1141,18,7
2023-03-05T15:24:04.243000+00:00,7953,1141,44,9
2023-03-05T15:24:04.243000+00:00,7953,1141,31,10
2023-03-05T15:24:04.243000+00:00,7953,1141,2,11
2023-03-05T15:24:04.243000+00:00,7953,1141,81,8
2023-03-05T15:24:05.509000+00:00,7953,1141,14,5
2023-03-05T15:24:05.509000+00:00,7953,1141,63,6
2023-03-05T15:24:08.884000+00:00,7953,1141,31,11
2023-03-05T15:24:08.884000+00:00,7953,1141,24,13
2023-03-05T15:24:08.884000+00:00,7953,1141,2,12
2023-03-05T15:24:08.884000+00:00,7953,1141,20,10
2023-03-05T15:24:12.946000+00:00,7953,1141,31,12
2023-03-05T15:24:12.946000+00:00,7953,1141,77,11
2023-03-05T15:24:12.946000+00:00,7953,1141,24,14
2023-03-05T15:24:12.946000+00:00,7953,1141,2,13
2023-03-05T15:24:13.696000+00:00,7953,1141,14,6
2023-03-05T15:24:13.696000+00:00,7953,1141,63,5
2023-03-05T15:24:18.040000+00:00,7953,1141,14,5
2023-03-05T15:24:18.040000+00:00,7953,1141,63,6
2023-03-05T15:24:18.712000+00:00,7953,1141,24,15
2023-03-05T15:24:18.712000+00:00,7953,1141,23,13
2023-03-05T15:24:18.712000+00:00,7953,1141,2,14
2023-03-05T15:24:19.977000+00:00,7953,1141,24,16
2023-03-05T15:24:19.977000+00:00,7953,1141,22,14
2023-03-05T15:24:19.977000+00:00,7953,1141,2,15
2023-03-05T15:24:22.602000+00:00,7953,1141,24,17
2023-03-05T15:24:22.602000+00:00,7953,1141,10,16
2023-03-05T15:24:24.212000+00:00,7953,1141,2,16
2023-03-05T15:24:24.212000+00:00,7953,1141,10,15
2023-03-05T15:24:29.634000+00:00,7953,1141,4,17
2023-03-05T15:24:29.634000+00:00,7953,1141,24,18
2023-03-05T15:24:31.868000+00:00,7953,1141,31,13
2023-03-05T15:24:31.868000+00:00,7953,1141,23,12
2023-03-05T15:24:38.680000+00:00,7953,1141,24,19
2023-03-05T15:24:38.680000+00:00,7953,1141,21,18
